,key,values,0
168,"['2015', '092-1', '00', '2']","['100.0', '.', '.', '12337', '14.75', '12345', '...', '...']",
169,"['2015', '092-1', '00', '1']","['100.0', '.', '.', '5325', '16.20', '5333', '17.47', '1006']",
170,"['2015', '092-1', '00', '0']","['100.0', '.', '.', '7012', '13.27', '7012', '...', '...']",
171,"['2015', '092-1', '01', '2']","['100.0', '.', '.', '1928', '18.13', '1934', '...', '...']",
172,"['2015', '092-1', '01', '1']","['100.0', '.', '.', '1139', '19.44', '1145', '20.83', '156']",
173,"['2015', '092-1', '01', '0']","['100.0', '.', '.', '789', '14.86', '789', '...', '...']",
174,"['2015', '092-1', '02', '2']","['100.0', '.', '.', '5916', '14.82', '5918', '...', '...']",
175,"['2015', '092-1', '02', '1']","['100.0', '.', '.', '2773', '15.88', '2775', '17.70', '550']",
176,"['2015', '092-1', '02', '0']","['100.0', '.', '.', '3143', '13.61', '3143', '...', '...']",
177,"['2015', '092-1', '03', '2']","['100.0', '.', '.', '4493', '13.78', '4493', '...', '...']",
178,"['2015', '092-1', '03', '1']","['100.0', '.', '.', '1413', '15.19', '1413', '16.17', '300']",
179,"['2015', '092-1', '03', '0']","['100.0', '.', '.', '3080', '12.76', '3080', '...', '...']",
180,"['2015', '092-2', '00', '2']","['100.0', '.', '.', '35510', '13.81', '35533', '...', '...']",
181,"['2015', '092-2', '00', '1']","['100.0', '.', '.', '20743', '14.86', '20759', '15.55', '2491']",
182,"['2015', '092-2', '00', '0']","['100.0', '.', '.', '14767', '12.38', '14774', '...', '...']",
183,"['2015', '092-2', '01', '2']","['100.0', '.', '.', '7710', '17.28', '7718', '...', '...']",
184,"['2015', '092-2', '01', '1']","['100.0', '.', '.', '5487', '18.45', '5495', '19.48', '531']",
185,"['2015', '092-2', '01', '0']","['100.0', '.', '.', '2223', '14.03', '2223', '...', '...']",
186,"['2015', '092-2', '02', '2']","['100.0', '.', '.', '15732', '13.66', '15736', '...', '...']",
187,"['2015', '092-2', '02', '1']","['100.0', '.', '.', '9562', '14.34', '9564', '15.48', '1155']",
188,"['2015', '092-2', '02', '0']","['100.0', '.', '.', '6170', '12.60', '6172', '...', '...']",
189,"['2015', '092-2', '03', '2']","['100.0', '.', '.', '12068', '12.61', '12079', '...', '...']",
190,"['2015', '092-2', '03', '1']","['100.0', '.', '.', '5694', '13.40', '5700', '14.05', '805']",
191,"['2015', '092-2', '03', '0']","['100.0', '.', '.', '6374', '11.88', '6379', '...', '...']",
192,"['2015', 'sat', '00', '2']","['100.0', '.', '.', '37357', '12.46', '37424', '...', '...']",
193,"['2015', 'sat', '00', '1']","['100.0', '.', '.', '17314', '12.86', '17353', '13.55', '1888']",
194,"['2015', 'sat', '00', '0']","['100.0', '.', '.', '20043', '11.87', '20071', '...', '...']",
195,"['2015', 'sat', '01', '2']","['100.0', '.', '.', '10164', '15.19', '10196', '...', '...']",
196,"['2015', 'sat', '01', '1']","['100.0', '.', '.', '6252', '16.03', '6277', '17.07', '565']",
197,"['2015', 'sat', '01', '0']","['100.0', '.', '.', '3912', '13.21', '3919', '...', '...']",
198,"['2015', 'sat', '02', '2']","['100.0', '.', '.', '17807', '12.11', '17836', '...', '...']",
199,"['2015', 'sat', '02', '1']","['100.0', '.', '.', '7802', '12.23', '7810', '13.33', '888']",
200,"['2015', 'sat', '02', '0']","['100.0', '.', '.', '10005', '11.95', '10026', '...', '...']",
201,"['2015', 'sat', '03', '2']","['100.0', '.', '.', '9386', '11.51', '9392', '...', '...']",
202,"['2015', 'sat', '03', '1']","['100.0', '.', '.', '3260', '11.67', '3266', '12.21', '435']",
203,"['2015', 'sat', '03', '0']","['100.0', '.', '.', '6126', '11.34', '6126', '...', '...']",
204,"['2015', '638', '00', '2']","['100.0', '.', '.', '7002', '12.05', '7020', '...', '...']",
205,"['2015', '638', '00', '1']","['100.0', '.', '.', '3854', '12.58', '3871', '13.53', '340']",
206,"['2015', '638', '00', '0']","['100.0', '.', '.', '3148', '10.98', '3149', '...', '...']",
207,"['2015', '638', '01', '2']","['100.0', '.', '.', '2014', '15.46', '2027', '...', '...']",
208,"['2015', '638', '01', '1']","['100.0', '.', '.', '1363', '16.14', '1375', '16.84', '106']",
209,"['2015', '638', '01', '0']","['100.0', '.', '.', '651', '12.75', '652', '...', '...']",
210,"['2015', '638', '02', '2']","['100.0', '.', '.', '3316', '11.41', '3321', '...', '...']",
211,"['2015', '638', '02', '1']","['100.0', '.', '.', '1831', '11.60', '1836', '13.34', '159']",
212,"['2015', '638', '02', '0']","['100.0', '.', '.', '1485', '10.99', '1485', '...', '...']",
213,"['2015', '638', '03', '2']","['100.0', '.', '.', '1672', '10.87', '1672', '...', '...']",
214,"['2015', '638', '03', '1']","['100.0', '.', '.', '660', '11.20', '660', '12.20', '75']",
215,"['2015', '638', '03', '0']","['100.0', '.', '.', '1012', '10.44', '1012', '...', '...']",
216,"['2015', '106', '00', '2']","['100.0', '.', '.', '6525', '12.61', '6535', '...', '...']",
217,"['2015', '106', '00', '1']","['100.0', '.', '.', '2804', '13.43', '2813', '13.99', '271']",
218,"['2015', '106', '00', '0']","['100.0', '.', '.', '3721', '11.36', '3722', '...', '...']",
219,"['2015', '106', '01', '2']","['100.0', '.', '.', '1922', '15.66', '1928', '...', '...']",
220,"['2015', '106', '01', '1']","['100.0', '.', '.', '1320', '16.55', '1326', '17.18', '107']",
221,"['2015', '106', '01', '0']","['100.0', '.', '.', '602', '13.08', '602', '...', '...']",
222,"['2015', '106', '02', '2']","['100.0', '.', '.', '3112', '11.94', '3113', '...', '...']",
223,"['2015', '106', '02', '1']","['100.0', '.', '.', '1168', '12.37', '1168', '13.91', '101']",
224,"['2015', '106', '02', '0']","['100.0', '.', '.', '1944', '11.29', '1945', '...', '...']",
225,"['2015', '106', '03', '2']","['100.0', '.', '.', '1491', '11.72', '1494', '...', '...']",
226,"['2015', '106', '03', '1']","['100.0', '.', '.', '316', '12.51', '319', '12.64', '63']",
227,"['2015', '106', '03', '0']","['100.0', '.', '.', '1175', '10.88', '1175', '...', '...']",
228,"['2015', '186', '00', '2']","['100.0', '.', '.', '6298', '12.68', '6311', '...', '...']",
229,"['2015', '186', '00', '1']","['100.0', '.', '.', '3197', '13.18', '3207', '14.44', '449']",
230,"['2015', '186', '00', '0']","['100.0', '.', '.', '3101', '11.99', '3104', '...', '...']",
231,"['2015', '186', '01', '2']","['100.0', '.', '.', '1657', '15.97', '1663', '...', '...']",
232,"['2015', '186', '01', '1']","['100.0', '.', '.', '1134', '16.94', '1139', '18.17', '137']",
233,"['2015', '186', '01', '0']","['100.0', '.', '.', '523', '13.51', '524', '...', '...']",
234,"['2015', '186', '02', '2']","['100.0', '.', '.', '3152', '12.21', '3159', '...', '...']",
235,"['2015', '186', '02', '1']","['100.0', '.', '.', '1480', '12.36', '1485', '14.20', '212']",
236,"['2015', '186', '02', '0']","['100.0', '.', '.', '1672', '12.03', '1674', '...', '...']",
237,"['2015', '186', '03', '2']","['100.0', '.', '.', '1489', '11.55', '1489', '...', '...']",
238,"['2015', '186', '03', '1']","['100.0', '.', '.', '583', '11.67', '583', '12.67', '100']",
239,"['2015', '186', '03', '0']","['100.0', '.', '.', '906', '11.42', '906', '...', '...']",
240,"['2015', '245', '00', '2']","['100.0', '.', '.', '7526', '12.95', '7543', '...', '...']",
241,"['2015', '245', '00', '1']","['100.0', '.', '.', '3808', '13.49', '3819', '14.25', '402']",
242,"['2015', '245', '00', '0']","['100.0', '.', '.', '3718', '12.36', '3724', '...', '...']",
243,"['2015', '245', '01', '2']","['100.0', '.', '.', '1782', '15.83', '1795', '...', '...']",
244,"['2015', '245', '01', '1']","['100.0', '.', '.', '1057', '17.21', '1068', '17.95', '96']",
245,"['2015', '245', '01', '0']","['100.0', '.', '.', '725', '13.59', '727', '...', '...']",
246,"['2015', '245', '02', '2']","['100.0', '.', '.', '3714', '12.73', '3718', '...', '...']",
247,"['2015', '245', '02', '1']","['100.0', '.', '.', '1866', '12.94', '1866', '13.91', '203']",
248,"['2015', '245', '02', '0']","['100.0', '.', '.', '1848', '12.48', '1852', '...', '...']",
249,"['2015', '245', '03', '2']","['100.0', '.', '.', '2030', '12.01', '2030', '...', '...']",
250,"['2015', '245', '03', '1']","['100.0', '.', '.', '885', '12.21', '885', '13.03', '103']",
251,"['2015', '245', '03', '0']","['100.0', '.', '.', '1145', '11.83', '1145', '...', '...']",
252,"['2015', 'A02', '00', '2']","['100.0', '.', '.', '63709', '10.93', '63878', '...', '...']",
253,"['2015', 'A02', '00', '1']","['100.0', '.', '.', '36732', '11.15', '36876', '11.77', '3028']",
254,"['2015', 'A02', '00', '0']","['100.0', '.', '.', '26977', '10.47', '27002', '...', '...']",
